skill_id	description
108	patterns in number sequences to 100,000
109	rounding numbers to the nearest 10, 100 or 1000
112	determining if a 1-digit number is a factor o a given number within 100
113	finding the common factors of 2 given numbers
114	determining if a number is a multiple of a given 1-digit number
115	finding the common multiples of two given 1-digit numbers
116	multiplication algorithm up to 4 digits by 1 digit, up to 3 digits by 2 digits
117	division algorithm (up to 4 digits by 1 digit)
118	solving up to 3-step word problems involving the 4 operations
119	mixed numbers, improper fractions and their relationships
120	fraction as part of a set of objects
121	adding and subtracting fractions with denominators of given fractions not exceeding 12 and not more than 2 different denominators
122	solving up to 2-step word problems involving addition and subtraction of fractions
123	notation and representation and place values (tenths, hundredths, thousandths)
124	comparing and ordering decimals
125	dividing a whole number by a whole number with quotient as a decimal
126	converting decimals to fractions
127	converting fractions to decimals when the denominator is a factor of 10 or 100
128	rounding decimals to the nearest whole number, 1 decimal place and 2 decimal places
129	adding and subtracting decimals (up to 2 decimal places)
130	multiplying and dividing decimals (up to 2 decimal places) by a 1-digit whole numbers for decimals up to 3 dec places
131	solving up to 2-step word problems involving the  operations
133	measuring time in seconds
134	24-hour clock
135	solving problems involving time in 24-hour clock
136	finding one dimension of a rectangle given the other dimension and its area/perimeter
137	finding the length of one side of a square given its area/perimeter
138	finding the area of figures made up of rectanges and squares
140	measuring angles in degrees
141	relating quarter, half and complete turns to angles in degrees
142	8-point compass
143	properties of rectangle and square, excluding diagonal properties
144	identifying symmetric figures
145	determining whether a straight line is a line of symmetry of a symmetric figure
147	reading and interpreting data from tables/line graphs
148	solve 1-step problems using data from tables/graphs
149	reading and writing numbers in numerals and in words up to 10 million
150	rounding off numbers to the nearest 1000.
151	multiplication and division by tens, hundreds and thousands without using calculators
152	solving word problems involving the 4 operations to 10m
153	estimation of answers in calculations
155	combined operations involving the 4 operations
157	association of a fraction with division
158	conversion between fractions and decimals
159	addition and subtraction of proper fractions without using calculators
160	addition and subtraction of mixed numbers
161	multiplication of a proper fractions and a proper/ improper fraction without using calculators
164	division of a proper fraction by a whole number without using calculators
165	solving word problems involving the 4 operation
166	multiplication and division of decimals (up to 3 decimal places) by tens, hundreds and thousands without using calculatorsoperations, • rounding off answers to a specified degree of accuracy, • estimation of answers in calculations, • checking reasonablen
167	solving word problems involving the 4 operations
168	rounding off answers to a specified degree of accuracy
171	expressing a part of a whole as a percentage
173	writing fractions and decimals as percentages, and vice versa
174	finding a percentage part of a whole
175	solving up to 2-step word problems involving percentage
176	discount, GST and annual interest
177	interpretation of a : b and a : b : c, where a, b and c are whole numbers
178	writing equivalent ratios
179	expressing a ratio in its simplest form
180	finding the ratio of two or three given quantities
182	finding one quantity given the other quantity and their ratio
183	solving up to 2-step word problems involving ratio
185	identifying the base of a triangle and its corresponding height,
186	use of formula to calculate the area of a triangle
187	building solids with unit cubes
188	measurement of volume in cubic units
189	measurement of volume in cubic centimetres (cm3 )/ cubic metres (m3 )
190	use of formula to calculate the volume of a cube/ cuboid
191	finding the volume of liquid in a rectangular tank
192	conversion between A, ml and cm3
193	solving up to 3-step word problems involving the volume of a cube/ cuboid.
194	Use of angles on a straight line, angles at a point, vertically opposite angles
195	identifying and naming the following types of triangles ∗ isosceles triangle, ∗ equilateral triangle, ∗ right-angled triangle,
196	use of the property that the angle sum of a triangle is 180o
197	finding unknown angles
198	identifying and naming parallelogram, rhombus and trapezium, • properties of parallelogram, rhombus and trapezium
200	finding unknown angles of parallelogram, rhombus and trapezium
203	calculation of the average number/quantity
204	finding the total amount given the average and the number of items
205	solving word problems involving average
206	division of a whole number/proper fraction by a proper fraction without using calculators.
207	finding the whole given a part and the percentage,
208	finding percentage increase/decrease,
209	solving word problems involving percentage
211	finding how many times one quantity is as large as another, given their ratio, and vice versa
212	expressing one quantity as a fraction of another given the two quantities
213	finding the whole/ one part when a whole is divided into parts in a given ratio
214	solving word problems involving 2 pairs of ratios
215	concepts of speed and average speed
216	relationship between distance, time and speed
218	writing speed in different units such as km/h, m/min, m/s and cm/s
219	solving up to 3-step word problems involving speed and average speed
220	use of formulae to calculate the area and circumference of a circle
221	finding the area and perimeter of ∗ semicircle (half circle) ∗ quarter circle
222	solving word problems involving area and perimeter.
223	finding the area and perimeter of a figure made up of some of the following shapes: square, rectangle, triangle, semicircle and quarter circle.
229	solving word problems involving volume of a cube/ cuboid
230	finding unknown angles in geometrical figures involving square, rectangle, parallelogram, rhombus, trapezium and triangle
231	2-D representation of cube, cuboid, cone, cylinder, prism and pyramid
232	identifying nets of the following solids ∗ cube, ∗ cuboid, ∗ prism, ∗ pyramid
234	making 3-D solids from given nets.
235	reading and interpreting pie charts
237	representation of an unknown number using a letter
238	simple algebraic expressions
239	simplification of algebraic expressions,
240	evaluation of simple algebraic expressions by substitution
